====================================================================
   GW BAND GAP ANALYSIS
   Created by Md. Tanvir Ahmed
   TEAMS Lab, Dept. of Physics, PUST
====================================================================

===== DIRECT GAPS (per k-point) =====
# kx   ky   kz   Eg_direct (eV)
0.0000  0.0000  0.0000  2.007500
0.0833  0.0000  0.0000  1.795900
0.1667  0.0000  0.0000  1.708500
0.2500  0.0000  0.0000  2.059300
0.3333  0.0000  0.0000  2.205000
0.4167  0.0000  0.0000  2.138100
0.5000  0.0000  0.0000  2.091900
0.0833  0.0833  0.0000  1.705900
0.1667  0.0833  0.0000  1.867200
0.2500  0.0833  0.0000  2.087800
0.3333  0.0833  0.0000  2.117000
0.4167  0.0833  0.0000  2.076100
0.1667  0.1667  0.0000  1.946900
0.2500  0.1667  0.0000  1.940800
0.3333  0.1667  0.0000  1.964200
0.4167  0.1667  0.0000  1.993200
0.2500  0.2500  0.0000  1.742600
0.3333  0.2500  0.0000  1.811400
0.3333  0.3333  0.0000  1.863100

===== MINIMUM DIRECT GAP =====
k = (0.0833, 0.0833, 0.0)
Eg_direct(min) = 1.705900 eV

===== INDIRECT GW GAP =====
VBM = 0.249600 eV at k = (0.3333, 0.3333, 0.0)
CBM = 1.349500 eV at k = (0.0833, 0.0, 0.0)
Eg_indirect = 1.099900 eV
Gap Type: INDIRECT
