 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 0.000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.000000E-03  1.83322273E-01  1.83322273E-01  0.00000000E+00  3.58342722E+00  0.00000000E+00  0.00000000E+00
 1.000000E-02  7.49946624E-01  7.49946624E-01  0.00000000E+00  7.16685443E+00  0.00000000E+00  0.00000000E+00
 1.500000E-02  1.67486262E+00  1.67486262E+00  0.00000000E+00  1.07502816E+01  0.00000000E+00  0.00000000E+00
 2.000000E-02  2.99968891E+00  2.99968891E+00  0.00000000E+00  1.43337089E+01  0.00000000E+00  0.00000000E+00
 2.500000E-02  4.70771750E+00  4.70771750E+00  0.00000000E+00  1.79171361E+01  0.00000000E+00  0.00000000E+00
 3.000000E-02  6.74889766E+00  6.74889766E+00  0.00000000E+00  2.15005633E+01  0.00000000E+00  0.00000000E+00
 3.500000E-02  9.21481188E+00  9.21476206E+00  0.00000000E+00  2.50839905E+01  0.00000000E+00  0.00000000E+00
 4.000000E-02  1.19970001E+01  1.19970001E+01  0.00000000E+00  2.86674177E+01  0.00000000E+00  0.00000000E+00
 4.500000E-02  1.52204515E+01  1.52204515E+01  0.00000000E+00  3.22508449E+01  0.00000000E+00  0.00000000E+00
 5.000000E-02  1.87432815E+01  1.87432815E+01  1.87104370E-01  3.58342722E+01  0.00000000E+00  0.00000000E+00
 5.500000E-02  2.27238331E+01  2.27237103E+01  2.05814807E-01  3.94176994E+01  0.00000000E+00  0.00000000E+00
 6.000000E-02  2.70867676E+01  2.70867676E+01  2.24525243E-01  4.30011266E+01  0.00000000E+00  0.00000000E+00
 6.500000E-02  3.17237626E+01  3.17237626E+01  2.43235680E-01  4.65845538E+01  0.00000000E+00  0.00000000E+00
 7.000000E-02  3.68428791E+01  3.68428791E+01  2.61946117E-01  5.01679810E+01  0.00000000E+00  0.00000000E+00
 7.500000E-02  4.23439899E+01  4.23439899E+01  2.80656554E-01  5.37514082E+01  0.00000000E+00  0.00000000E+00
 8.000000E-02  4.82266462E+01  4.82266462E+01  2.99366991E-01  5.73348355E+01  0.00000000E+00  0.00000000E+00
 8.500000E-02  5.43495995E+01  5.43495995E+01  3.18077428E-01  6.09182627E+01  0.00000000E+00  0.00000000E+00
 9.000000E-02  6.09871676E+01  6.09871676E+01  3.36787865E-01  6.45016899E+01  0.00000000E+00  0.00000000E+00
 9.500000E-02  6.80055362E+01  6.80055362E+01  3.55498302E-01  6.80851171E+01  0.00000000E+00  0.00000000E+00
 1.000000E-01  7.54047554E+01  7.54047554E+01  3.74208739E-01  7.16685443E+01  0.00000000E+00  0.00000000E+00
 1.050000E-01  8.31845696E+01  8.31845696E+01  3.92919176E-01  7.52519715E+01  0.00000000E+00  0.00000000E+00
 1.100000E-01  9.13447111E+01  9.13447111E+01  4.11629613E-01  7.88353988E+01  0.00000000E+00  0.00000000E+00
 1.150000E-01  9.98849002E+01  9.98849002E+01  4.30340050E-01  8.24188260E+01  0.00000000E+00  0.00000000E+00
 1.200000E-01  1.09004485E+02  1.09004485E+02  4.49050487E-01  8.60022532E+01  0.00000000E+00  0.00000000E+00
 1.250000E-01  1.18311533E+02  1.18311533E+02  4.67748161E-01  8.95856804E+01  0.00000000E+00  0.00000000E+00
 1.300000E-01  1.27998298E+02  1.27998298E+02  4.86458088E-01  9.31691076E+01  0.00000000E+00  0.00000000E+00
 1.350000E-01  1.38287613E+02  1.38287613E+02  5.05168014E-01  9.67525348E+01  0.00000000E+00  0.00000000E+00
 1.400000E-01  1.48739063E+02  1.48739063E+02  5.23877941E-01  1.00335962E+02  0.00000000E+00  0.00000000E+00
