 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 0.000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.000000E-03  1.11584015E-01  1.11584015E-01  0.00000000E+00  3.58342722E+00  0.00000000E+00  0.00000000E+00
 1.000000E-02  4.46333050E-01  4.46333050E-01  0.00000000E+00  7.16685443E+00  0.00000000E+00  0.00000000E+00
 1.500000E-02  1.00424258E+00  1.00424258E+00  0.00000000E+00  1.07502816E+01  0.00000000E+00  0.00000000E+00
 2.000000E-02  1.74810240E+00  1.74810240E+00  0.00000000E+00  1.43337089E+01  0.00000000E+00  0.00000000E+00
 2.500000E-02  2.74297754E+00  2.74297754E+00  0.00000000E+00  1.79171361E+01  0.00000000E+00  0.00000000E+00
 3.000000E-02  3.96096538E+00  3.96096538E+00  0.00000000E+00  2.15005633E+01  0.00000000E+00  0.00000000E+00
 3.500000E-02  5.40201600E+00  5.40201600E+00  0.00000000E+00  2.50839905E+01  0.00000000E+00  0.00000000E+00
 4.000000E-02  7.06612979E+00  7.06608223E+00  0.00000000E+00  2.86674177E+01  0.00000000E+00  0.00000000E+00
 4.500000E-02  8.95322840E+00  8.95316813E+00  1.64794121E-01  3.22508449E+01  0.00000000E+00  0.00000000E+00
 5.000000E-02  1.10632511E+01  1.10632511E+01  1.83104579E-01  3.58342722E+01  0.00000000E+00  0.00000000E+00
 5.500000E-02  1.33962185E+01  1.33962185E+01  2.01409770E-01  3.94176994E+01  0.00000000E+00  0.00000000E+00
 6.000000E-02  1.59519961E+01  1.59519961E+01  2.19719749E-01  4.30011266E+01  0.00000000E+00  0.00000000E+00
 6.500000E-02  1.87306267E+01  1.87306267E+01  2.38029728E-01  4.65845538E+01  0.00000000E+00  0.00000000E+00
 7.000000E-02  2.17319325E+01  2.17319325E+01  2.56339707E-01  5.01679810E+01  0.00000000E+00  0.00000000E+00
 7.500000E-02  2.49558170E+01  2.49558170E+01  2.74649686E-01  5.37514082E+01  0.00000000E+00  0.00000000E+00
 8.000000E-02  2.84023657E+01  2.84023657E+01  2.92959665E-01  5.73348355E+01  0.00000000E+00  0.00000000E+00
 8.500000E-02  3.20713223E+01  3.20713223E+01  3.11269644E-01  6.09182627E+01  0.00000000E+00  0.00000000E+00
 9.000000E-02  3.59628097E+01  3.59628097E+01  3.29579623E-01  6.45016899E+01  0.00000000E+00  0.00000000E+00
 9.500000E-02  4.00765134E+01  4.00765134E+01  3.47889602E-01  6.80851171E+01  0.00000000E+00  0.00000000E+00
 1.000000E-01  4.44125997E+01  4.44125997E+01  3.66199581E-01  7.16685443E+01  0.00000000E+00  0.00000000E+00
 1.050000E-01  4.89703609E+01  4.89703609E+01  3.84509560E-01  7.52519715E+01  0.00000000E+00  0.00000000E+00
 1.100000E-01  5.37506387E+01  5.37506387E+01  4.02819539E-01  7.88353988E+01  0.00000000E+00  0.00000000E+00
 1.150000E-01  5.87522912E+01  5.87522912E+01  4.21129519E-01  8.24188260E+01  0.00000000E+00  0.00000000E+00
 1.200000E-01  6.39763439E+01  6.39759140E+01  4.39439498E-01  8.60022532E+01  0.00000000E+00  0.00000000E+00
 1.250000E-01  6.94214445E+01  6.94214445E+01  9.15498983E-01  8.95856804E+01  0.00000000E+00  0.00000000E+00
 1.300000E-01  7.53297561E+01  7.53297561E+01  9.52118942E-01  9.31691076E+01  0.00000000E+00  0.00000000E+00
 1.350000E-01  8.12270461E+01  8.12270461E+01  9.88738901E-01  9.67525348E+01  0.00000000E+00  0.00000000E+00
 1.400000E-01  8.73458887E+01  8.73458887E+01  1.02533209E+00  1.00335962E+02  0.00000000E+00  0.00000000E+00
 1.450000E-01  9.36855837E+01  9.36855837E+01  1.06195109E+00  1.03919389E+02  0.00000000E+00  0.00000000E+00
 1.501000E-01  1.00591404E+02  1.00591404E+02  1.09930247E+00  1.07574485E+02  0.00000000E+00  0.00000000E+00
 1.551000E-01  1.07384370E+02  1.07384370E+02  1.13592148E+00  1.11157912E+02  0.00000000E+00  0.00000000E+00
 1.601000E-01  1.14398410E+02  1.14398410E+02  1.17254048E+00  1.14741339E+02  0.00000000E+00  0.00000000E+00
 1.651000E-01  1.21938186E+02  1.21938186E+02  1.20915948E+00  1.18324767E+02  0.00000000E+00  0.00000000E+00
 1.701000E-01  1.29401537E+02  1.29401537E+02  1.24577849E+00  1.21908194E+02  0.00000000E+00  0.00000000E+00
 1.751000E-01  1.37410355E+02  1.37410355E+02  1.28239749E+00  1.25491621E+02  0.00000000E+00  0.00000000E+00
 1.801000E-01  1.45322147E+02  1.45322147E+02  1.31901649E+00  1.29075048E+02  0.00000000E+00  0.00000000E+00
 1.851000E-01  1.53798490E+02  1.53798490E+02  1.35563550E+00  1.32658476E+02  0.00000000E+00  0.00000000E+00
 1.901000E-01  1.62158828E+02  1.62158828E+02  1.39221816E+00  1.36241903E+02  0.00000000E+00  0.00000000E+00
 1.951000E-01  1.71100815E+02  1.71100815E+02  1.42883621E+00  1.39825330E+02  0.00000000E+00  0.00000000E+00
 2.001000E-01  1.79908895E+02  1.79908895E+02  1.46545426E+00  1.43408757E+02  0.00000000E+00  0.00000000E+00
 2.051000E-01  1.89316716E+02  1.89316716E+02  2.25310844E+00  1.46992184E+02  0.00000000E+00  0.00000000E+00
 2.101000E-01  1.98961102E+02  1.98961102E+02  2.30803552E+00  1.50575612E+02  0.00000000E+00  0.00000000E+00
 2.151000E-01  2.08843137E+02  2.08843137E+02  2.36296259E+00  1.54159039E+02  0.00000000E+00  0.00000000E+00
 2.201000E-01  2.18552037E+02  2.18552037E+02  2.41788966E+00  1.57742466E+02  0.00000000E+00  0.00000000E+00
 2.251000E-01  2.28898157E+02  2.28898157E+02  2.47281673E+00  1.61325893E+02  0.00000000E+00  0.00000000E+00
 2.301000E-01  2.39478233E+02  2.39478233E+02  2.52767782E+00  1.64909320E+02  0.00000000E+00  0.00000000E+00
 2.351000E-01  2.50295053E+02  2.50295053E+02  2.58260345E+00  1.68492748E+02  0.00000000E+00  0.00000000E+00
 2.401000E-01  2.61346742E+02  2.61346742E+02  2.63752909E+00  1.72076175E+02  0.00000000E+00  0.00000000E+00
 2.451000E-01  2.72634762E+02  2.72634762E+02  2.69245473E+00  1.75659602E+02  0.00000000E+00  0.00000000E+00
 2.501000E-01  2.84157081E+02  2.84157081E+02  2.74738036E+00  1.79243029E+02  0.00000000E+00  0.00000000E+00
 2.551000E-01  2.96385275E+02  2.96385275E+02  2.80230600E+00  1.82826457E+02  0.00000000E+00  0.00000000E+00
 2.601000E-01  3.08386281E+02  3.08386281E+02  2.85715705E+00  1.86409884E+02  0.00000000E+00  0.00000000E+00
 2.651000E-01  3.20620608E+02  3.20620608E+02  2.91208126E+00  1.89993311E+02  0.00000000E+00  0.00000000E+00
 2.701000E-01  3.33087865E+02  3.33087865E+02  2.96700546E+00  1.93576738E+02  0.00000000E+00  0.00000000E+00
 2.751000E-01  3.46298457E+02  3.46298457E+02  3.02192966E+00  1.97160165E+02  0.00000000E+00  0.00000000E+00
 2.801000E-01  3.59241962E+02  3.59241962E+02  4.10247181E+00  2.00743593E+02  0.00000000E+00  0.00000000E+00
 2.851000E-01  3.72944084E+02  3.72944084E+02  4.17570408E+00  2.04327020E+02  0.00000000E+00  0.00000000E+00
 2.901000E-01  3.86362586E+02  3.86362586E+02  4.24882544E+00  2.07910447E+02  0.00000000E+00  0.00000000E+00
 2.951000E-01  4.00557244E+02  4.00557244E+02  4.32205580E+00  2.11493874E+02  0.00000000E+00  0.00000000E+00
 3.001000E-01  4.15000853E+02  4.15000853E+02  4.39528616E+00  2.15077302E+02  0.00000000E+00  0.00000000E+00
 3.051000E-01  4.29132646E+02  4.29132646E+02  4.46851652E+00  2.18660729E+02  0.00000000E+00  0.00000000E+00
 3.101000E-01  4.44066709E+02  4.44066709E+02  4.54174688E+00  2.22244156E+02  0.00000000E+00  0.00000000E+00
 3.151000E-01  4.59248505E+02  4.59248505E+02  4.61485678E+00  2.25827583E+02  0.00000000E+00  0.00000000E+00
 3.201000E-01  4.74680687E+02  4.74680687E+02  4.68808523E+00  2.29411010E+02  0.00000000E+00  0.00000000E+00
 3.251000E-01  4.90359817E+02  4.90359817E+02  4.76131368E+00  2.32994438E+02  0.00000000E+00  0.00000000E+00
 3.301000E-01  5.06285394E+02  5.06285394E+02  4.83454213E+00  2.36577865E+02  0.00000000E+00  0.00000000E+00
 3.351000E-01  5.23074449E+02  5.23074449E+02  4.90777057E+00  2.40161292E+02  0.00000000E+00  0.00000000E+00
 3.401000E-01  5.39503977E+02  5.39503977E+02  4.98086903E+00  2.43744719E+02  0.00000000E+00  0.00000000E+00
 3.451000E-01  5.56178599E+02  5.56178599E+02  5.05409557E+00  2.47328146E+02  0.00000000E+00  0.00000000E+00
 3.501000E-01  5.73746202E+02  5.73746202E+02  5.12732211E+00  2.50911574E+02  0.00000000E+00  0.00000000E+00
 3.551000E-01  5.90918527E+02  5.90918527E+02  5.20054864E+00  2.54495001E+02  0.00000000E+00  0.00000000E+00
 3.601000E-01  6.09000979E+02  6.09000979E+02  6.59221895E+00  2.58078428E+02  0.00000000E+00  0.00000000E+00
 3.651000E-01  6.27348688E+02  6.27348688E+02  6.68357768E+00  2.61661855E+02  0.00000000E+00  0.00000000E+00
 3.701000E-01  6.45272274E+02  6.45272274E+02  6.77510847E+00  2.65245283E+02  0.00000000E+00  0.00000000E+00
 3.751000E-01  6.64131827E+02  6.64131827E+02  6.86663925E+00  2.68828710E+02  0.00000000E+00  0.00000000E+00
 3.801000E-01  6.83250958E+02  6.83250958E+02  6.95817003E+00  2.72412137E+02  0.00000000E+00  0.00000000E+00
 3.851000E-01  7.02629053E+02  7.02629053E+02  7.04951683E+00  2.75995564E+02  0.00000000E+00  0.00000000E+00
