 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 0.000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.000000E-03  1.03853124E-01  1.03853124E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.000000E-02  4.15409610E-01  4.15409610E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.500000E-02  9.34665121E-01  9.34665121E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.000000E-02  1.69936750E+00  1.69936750E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.500000E-02  2.64342379E+00  2.64342379E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.000000E-02  3.79512215E+00  3.79509581E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.500000E-02  5.15442559E+00  5.15442559E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.000000E-02  6.72133513E+00  6.72133513E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.500000E-02  8.58073217E+00  8.58073217E+00  1.68403115E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.000000E-02  1.05721519E+01  1.05721519E+01  1.87114572E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.500000E-02  1.27710045E+01  1.27710045E+01  2.05826029E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.000000E-02  1.51773238E+01  1.51773238E+01  2.24537486E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.500000E-02  1.77909601E+01  1.77909601E+01  2.43248943E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 7.000000E-02  2.07439560E+01  2.07439560E+01  2.61960400E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 7.500000E-02  2.37815578E+01  2.37815578E+01  2.80671858E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 8.000000E-02  2.70264272E+01  2.70264272E+01  2.99383315E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 8.500000E-02  3.04783182E+01  3.04781069E+01  3.18094772E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 9.000000E-02  3.43069564E+01  3.43069564E+01  3.36806229E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 9.500000E-02  3.81822367E+01  3.81819720E+01  3.55517686E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.000000E-01  4.22642349E+01  4.22642349E+01  3.74229143E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.050000E-01  4.67509155E+01  4.67509155E+01  3.92940601E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.100000E-01  5.12557142E+01  5.12557142E+01  4.11652058E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.150000E-01  5.59672584E+01  5.59672584E+01  4.30363515E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.200000E-01  6.11114127E+01  6.11114127E+01  4.49062721E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.250000E-01  6.62447515E+01  6.62447515E+01  4.67773667E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.300000E-01  7.18296819E+01  7.18296819E+01  4.86484614E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.350000E-01  7.73847094E+01  7.73847094E+01  1.01039113E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.400000E-01  8.34099299E+01  8.34099299E+01  1.04781303E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.450000E-01  8.93861507E+01  8.93861507E+01  1.08523492E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.501000E-01  9.59150405E+01  9.59143770E+01  1.12340525E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.551000E-01  1.02313282E+02  1.02313282E+02  1.16082714E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.601000E-01  1.09219689E+02  1.09219689E+02  1.19824904E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.651000E-01  1.16038688E+02  1.16038688E+02  1.23567093E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.701000E-01  1.23382857E+02  1.23382857E+02  1.27309283E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.751000E-01  1.30951151E+02  1.30950246E+02  1.31051472E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.801000E-01  1.38403301E+02  1.38403301E+02  1.34789986E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.851000E-01  1.46408131E+02  1.46408131E+02  1.38532074E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.901000E-01  1.54636596E+02  1.54636596E+02  1.42274161E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.951000E-01  1.63087473E+02  1.63087473E+02  1.46016249E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.001000E-01  1.71761672E+02  1.71761672E+02  1.49758336E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.051000E-01  1.80657846E+02  1.80657846E+02  1.53500423E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.101000E-01  1.89381650E+02  1.89381650E+02  1.57242511E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.151000E-01  1.98712993E+02  1.98712993E+02  1.60984598E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
