 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 0.000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.000000E-03  7.04484195E-02  7.04484195E-02  0.00000000E+00  3.58342722E+00  0.00000000E+00  0.00000000E+00
 1.000000E-02  3.01919414E-01  3.01919414E-01  0.00000000E+00  7.16685443E+00  0.00000000E+00  0.00000000E+00
 1.500000E-02  6.64217467E-01  6.64217467E-01  0.00000000E+00  1.07502816E+01  0.00000000E+00  0.00000000E+00
 2.000000E-02  1.20765858E+00  1.20765858E+00  0.00000000E+00  1.43337089E+01  0.00000000E+00  0.00000000E+00
 2.500000E-02  1.86177758E+00  1.86177758E+00  0.00000000E+00  1.79171361E+01  0.00000000E+00  0.00000000E+00
 3.000000E-02  2.71714599E+00  2.71714599E+00  0.00000000E+00  2.15005633E+01  0.00000000E+00  0.00000000E+00
 3.500000E-02  3.66305748E+00  3.66305748E+00  0.00000000E+00  2.50839905E+01  0.00000000E+00  0.00000000E+00
 4.000000E-02  4.83029105E+00  4.83029105E+00  1.46193854E-01  2.86674177E+01  0.00000000E+00  0.00000000E+00
 4.500000E-02  6.06790940E+00  6.06790940E+00  1.64468085E-01  3.22508449E+01  0.00000000E+00  0.00000000E+00
 5.000000E-02  7.54691268E+00  7.54691268E+00  1.82742317E-01  3.58342722E+01  0.00000000E+00  0.00000000E+00
 5.500000E-02  9.18681825E+00  9.18681825E+00  2.01016549E-01  3.94176994E+01  0.00000000E+00  0.00000000E+00
 6.000000E-02  1.08668679E+01  1.08668679E+01  2.19290780E-01  4.30011266E+01  0.00000000E+00  0.00000000E+00
 6.500000E-02  1.28183735E+01  1.28183735E+01  2.37565012E-01  4.65845538E+01  0.00000000E+00  0.00000000E+00
 7.000000E-02  1.47898473E+01  1.47898473E+01  2.55839244E-01  5.01679810E+01  0.00000000E+00  0.00000000E+00
 7.500000E-02  1.70529264E+01  1.70529264E+01  2.74106337E-01  5.37514082E+01  0.00000000E+00  0.00000000E+00
 8.000000E-02  1.93156747E+01  1.93156747E+01  2.92380093E-01  5.73348355E+01  0.00000000E+00  0.00000000E+00
 8.500000E-02  2.18900615E+01  2.18900615E+01  3.10653849E-01  6.09182627E+01  0.00000000E+00  0.00000000E+00
 9.000000E-02  2.44440861E+01  2.44438935E+01  3.28927605E-01  6.45016899E+01  0.00000000E+00  0.00000000E+00
 9.500000E-02  2.73295943E+01  2.73295943E+01  3.47201360E-01  6.80851171E+01  0.00000000E+00  0.00000000E+00
 1.000000E-01  3.01743136E+01  3.01743136E+01  3.65475116E-01  7.16685443E+01  0.00000000E+00  0.00000000E+00
 1.050000E-01  3.33709480E+01  3.33709480E+01  3.83748872E-01  7.52519715E+01  0.00000000E+00  0.00000000E+00
 1.100000E-01  3.67278519E+01  3.67278519E+01  4.02022628E-01  7.88353988E+01  0.00000000E+00  0.00000000E+00
 1.150000E-01  4.00136236E+01  4.00136236E+01  8.40592785E-01  8.24188260E+01  0.00000000E+00  0.00000000E+00
 1.200000E-01  4.36810372E+01  4.36810372E+01  8.77140298E-01  8.60022532E+01  0.00000000E+00  0.00000000E+00
 1.250000E-01  4.75088068E+01  4.75088068E+01  9.13687810E-01  8.95856804E+01  0.00000000E+00  0.00000000E+00
 1.300000E-01  5.12354933E+01  5.12354933E+01  9.50235323E-01  9.31691076E+01  0.00000000E+00  0.00000000E+00
 1.350000E-01  5.53734020E+01  5.53734020E+01  9.86782835E-01  9.67525348E+01  0.00000000E+00  0.00000000E+00
 1.400000E-01  5.96714983E+01  5.96714983E+01  1.02333035E+00  1.00335962E+02  0.00000000E+00  0.00000000E+00
 1.450000E-01  6.38377441E+01  6.38377441E+01  1.05985030E+00  1.03919389E+02  0.00000000E+00  0.00000000E+00
 1.501000E-01  6.84911300E+01  6.84911300E+01  1.09712780E+00  1.07574485E+02  0.00000000E+00  0.00000000E+00
 1.551000E-01  7.32599129E+01  7.32599129E+01  1.13367436E+00  1.11157912E+02  0.00000000E+00  0.00000000E+00
 1.601000E-01  7.78674262E+01  7.78674262E+01  1.17022092E+00  1.14741339E+02  0.00000000E+00  0.00000000E+00
 1.651000E-01  8.29452953E+01  8.29452953E+01  1.20676748E+00  1.18324767E+02  0.00000000E+00  0.00000000E+00
 1.701000E-01  8.81835686E+01  8.81835686E+01  1.24331405E+00  1.21908194E+02  0.00000000E+00  0.00000000E+00
 1.751000E-01  9.35808531E+01  9.35808531E+01  1.27986061E+00  1.25491621E+02  0.00000000E+00  0.00000000E+00
 1.801000E-01  9.87751612E+01  9.87751612E+01  1.31640717E+00  1.29075048E+02  0.00000000E+00  0.00000000E+00
 1.851000E-01  1.04481575E+02  1.04481575E+02  1.35295373E+00  1.32658476E+02  0.00000000E+00  0.00000000E+00
 1.901000E-01  1.10346639E+02  1.10345772E+02  2.08419623E+00  1.36241903E+02  0.00000000E+00  0.00000000E+00
 1.951000E-01  1.16370164E+02  1.16370164E+02  2.13901465E+00  1.39825330E+02  0.00000000E+00  0.00000000E+00
 2.001000E-01  1.22552915E+02  1.22552915E+02  2.19383307E+00  1.43408757E+02  0.00000000E+00  0.00000000E+00
 2.051000E-01  1.28894834E+02  1.28894834E+02  2.24865148E+00  1.46992184E+02  0.00000000E+00  0.00000000E+00
 2.101000E-01  1.35394805E+02  1.35394805E+02  2.30346990E+00  1.50575612E+02  0.00000000E+00  0.00000000E+00
 2.151000E-01  1.42053729E+02  1.42053729E+02  2.35828832E+00  1.54159039E+02  0.00000000E+00  0.00000000E+00
 2.201000E-01  1.48870379E+02  1.48870379E+02  2.41310674E+00  1.57742466E+02  0.00000000E+00  0.00000000E+00
 2.251000E-01  1.55846975E+02  1.55846975E+02  2.46786098E+00  1.61325893E+02  0.00000000E+00  0.00000000E+00
 2.301000E-01  1.62979790E+02  1.62979790E+02  2.52267797E+00  1.64909320E+02  0.00000000E+00  0.00000000E+00
 2.351000E-01  1.70272425E+02  1.70272425E+02  2.57749497E+00  1.68492748E+02  0.00000000E+00  0.00000000E+00
 2.401000E-01  1.77722204E+02  1.77722204E+02  2.63231196E+00  1.72076175E+02  0.00000000E+00  0.00000000E+00
 2.451000E-01  1.85328885E+02  1.85328885E+02  2.68712895E+00  1.75659602E+02  0.00000000E+00  0.00000000E+00
 2.501000E-01  1.93093732E+02  1.93093732E+02  2.74194594E+00  1.79243029E+02  0.00000000E+00  0.00000000E+00
 2.551000E-01  2.01016676E+02  2.01016676E+02  2.79676293E+00  1.82826457E+02  0.00000000E+00  0.00000000E+00
 2.601000E-01  2.09096009E+02  2.09096009E+02  3.80200770E+00  1.86409884E+02  0.00000000E+00  0.00000000E+00
 2.651000E-01  2.17333171E+02  2.17333171E+02  3.87509513E+00  1.89993311E+02  0.00000000E+00  0.00000000E+00
 2.701000E-01  2.25728086E+02  2.25728086E+02  3.94818255E+00  1.93576738E+02  0.00000000E+00  0.00000000E+00
 2.751000E-01  2.34830090E+02  2.34830090E+02  4.02126997E+00  1.97160165E+02  0.00000000E+00  0.00000000E+00
 2.801000E-01  2.43548254E+02  2.43548254E+02  4.09435739E+00  2.00743593E+02  0.00000000E+00  0.00000000E+00
 2.851000E-01  2.52421838E+02  2.52421838E+02  4.16733647E+00  2.04327020E+02  0.00000000E+00  0.00000000E+00
 2.901000E-01  2.61452598E+02  2.61452598E+02  4.24042199E+00  2.07910447E+02  0.00000000E+00  0.00000000E+00
 2.951000E-01  2.71229246E+02  2.71229246E+02  4.31350752E+00  2.11493874E+02  0.00000000E+00  0.00000000E+00
 3.001000E-01  2.80581762E+02  2.80581762E+02  4.38659304E+00  2.15077302E+02  0.00000000E+00  0.00000000E+00
 3.051000E-01  2.90701770E+02  2.90701770E+02  4.45967856E+00  2.18660729E+02  0.00000000E+00  0.00000000E+00
 3.101000E-01  3.00375323E+02  3.00375323E+02  4.53264624E+00  2.22244156E+02  0.00000000E+00  0.00000000E+00
 3.151000E-01  3.10835825E+02  3.10835825E+02  4.60572986E+00  2.25827583E+02  0.00000000E+00  0.00000000E+00
 3.201000E-01  3.20829596E+02  3.20829596E+02  4.67881348E+00  2.29411010E+02  0.00000000E+00  0.00000000E+00
 3.251000E-01  3.31629739E+02  3.31629739E+02  4.75189710E+00  2.32994438E+02  0.00000000E+00  0.00000000E+00
 3.301000E-01  3.41945545E+02  3.41945545E+02  4.82498072E+00  2.36577865E+02  0.00000000E+00  0.00000000E+00
 3.351000E-01  3.53084529E+02  3.53084529E+02  6.12242126E+00  2.40161292E+02  0.00000000E+00  0.00000000E+00
 3.401000E-01  3.63719083E+02  3.63719083E+02  6.21377341E+00  2.43744719E+02  0.00000000E+00  0.00000000E+00
 3.451000E-01  3.75196004E+02  3.75196004E+02  6.30512557E+00  2.47328146E+02  0.00000000E+00  0.00000000E+00
 3.501000E-01  3.86847945E+02  3.86847945E+02  6.39647772E+00  2.50911574E+02  0.00000000E+00  0.00000000E+00
 3.551000E-01  3.98671701E+02  3.98671701E+02  6.48766121E+00  2.54495001E+02  0.00000000E+00  0.00000000E+00
 3.601000E-01  4.09950878E+02  4.09950878E+02  6.57901099E+00  2.58078428E+02  0.00000000E+00  0.00000000E+00
 3.651000E-01  4.22110657E+02  4.22110657E+02  6.67036077E+00  2.61661855E+02  0.00000000E+00  0.00000000E+00
 3.701000E-01  4.34448018E+02  4.34448018E+02  6.76171055E+00  2.65245283E+02  0.00000000E+00  0.00000000E+00
 3.751000E-01  4.46952731E+02  4.46952731E+02  6.85288219E+00  2.68828710E+02  0.00000000E+00  0.00000000E+00
 3.801000E-01  4.59631230E+02  4.59631230E+02  6.94422959E+00  2.72412137E+02  0.00000000E+00  0.00000000E+00
 3.851000E-01  4.72483397E+02  4.72483397E+02  7.03557699E+00  2.75995564E+02  0.00000000E+00  0.00000000E+00
 3.901000E-01  4.85505350E+02  4.85505350E+02  7.12692440E+00  2.79578991E+02  0.00000000E+00  0.00000000E+00
 3.951000E-01  4.98700532E+02  4.98700532E+02  7.21808419E+00  2.83162419E+02  0.00000000E+00  0.00000000E+00
 4.001000E-01  5.12068817E+02  5.12068817E+02  7.30942921E+00  2.86745846E+02  0.00000000E+00  0.00000000E+00
 4.051000E-01  5.26413383E+02  5.26413383E+02  8.88092907E+00  2.90329273E+02  0.00000000E+00  0.00000000E+00
 4.101000E-01  5.40128825E+02  5.40128825E+02  8.99054310E+00  2.93912700E+02  0.00000000E+00  0.00000000E+00
 4.151000E-01  5.54016577E+02  5.54016577E+02  9.09992063E+00  2.97496127E+02  0.00000000E+00  0.00000000E+00
 4.201000E-01  5.68913125E+02  5.68913125E+02  9.20953181E+00  3.01079555E+02  0.00000000E+00  0.00000000E+00
 4.251000E-01  5.83150351E+02  5.83150351E+02  9.31914300E+00  3.04662982E+02  0.00000000E+00  0.00000000E+00
 4.301000E-01  5.97559276E+02  5.97554667E+02  9.42850913E+00  3.08246409E+02  0.00000000E+00  0.00000000E+00
 4.351000E-01  6.13000846E+02  6.13000846E+02  9.53811747E+00  3.11829836E+02  0.00000000E+00  0.00000000E+00
 4.401000E-01  6.27752709E+02  6.27752709E+02  9.64772580E+00  3.15413264E+02  0.00000000E+00  0.00000000E+00
 4.451000E-01  6.43565575E+02  6.43565575E+02  9.75708057E+00  3.18996691E+02  0.00000000E+00  0.00000000E+00
 4.502000E-01  6.59705164E+02  6.59705164E+02  9.86887817E+00  3.22651787E+02  0.00000000E+00  0.00000000E+00
 4.552000E-01  6.74990280E+02  6.74990280E+02  9.97848365E+00  3.26235214E+02  0.00000000E+00  0.00000000E+00
 4.602000E-01  6.91349653E+02  6.91349653E+02  1.00880891E+01  3.29818641E+02  0.00000000E+00  0.00000000E+00
 4.652000E-01  7.07903607E+02  7.07903607E+02  1.01974296E+01  3.33402068E+02  0.00000000E+00  0.00000000E+00
 4.702000E-01  7.24641227E+02  7.24641227E+02  1.03070323E+01  3.36985495E+02  0.00000000E+00  0.00000000E+00
 4.752000E-01  7.41561975E+02  7.41561975E+02  1.21527407E+01  3.40568923E+02  0.00000000E+00  0.00000000E+00
 4.802000E-01  7.58671126E+02  7.58671126E+02  1.22802913E+01  3.44152350E+02  0.00000000E+00  0.00000000E+00
 4.852000E-01  7.75962567E+02  7.75962567E+02  1.24081577E+01  3.47735777E+02  0.00000000E+00  0.00000000E+00
 4.902000E-01  7.93441820E+02  7.93441820E+02  1.25360242E+01  3.51319204E+02  0.00000000E+00  0.00000000E+00
 4.952000E-01  8.11102508E+02  8.11102508E+02  1.26635615E+01  3.54902632E+02  0.00000000E+00  0.00000000E+00
 5.002000E-01  8.29941933E+02  8.29941933E+02  1.27914246E+01  3.58486059E+02  0.00000000E+00  0.00000000E+00
 5.052000E-01  8.47986465E+02  8.47986465E+02  1.29192877E+01  3.62069486E+02  0.00000000E+00  0.00000000E+00
 5.102000E-01  8.66204623E+02  8.66204623E+02  1.30468118E+01  3.65652913E+02  0.00000000E+00  0.00000000E+00
 5.152000E-01  8.85635954E+02  8.85635954E+02  1.31746716E+01  3.69236340E+02  0.00000000E+00  0.00000000E+00
 5.202000E-01  9.04235925E+02  9.04235925E+02  1.33021858E+01  3.72819768E+02  0.00000000E+00  0.00000000E+00
 5.252000E-01  9.24054025E+02  9.24054025E+02  1.34300422E+01  3.76403195E+02  0.00000000E+00  0.00000000E+00
 5.302000E-01  9.44076537E+02  9.44076537E+02  1.35578987E+01  3.79986622E+02  0.00000000E+00  0.00000000E+00
